Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-04-01 11:59:30	17385.689	-7027.125	-13936.978
2010-04-02 11:59:30	17383.933	-7024.977	-13941.481
2010-04-03 11:59:30	17377.666	-7025.142	-13937.4
2010-04-04 11:59:30	17379.749	-7026.381	-13941.218
2010-04-05 11:59:30	17380.766	-7021.634	-13940.534
2010-04-06 11:59:30	17373.45	-7019.278	-13940.737
2010-04-07 11:59:30	17381.736	-7020.046	-13939.81
2010-04-08 11:59:30	17380.044	-7025.033	-13942.822
2010-04-09 11:59:30	99999.0	99999.0	99999.0
2010-04-10 11:59:30	17381.797	-7022.045	-13944.554
2010-04-11 11:59:30	17376.338	-7023.246	-13942.847
2010-04-12 11:59:30	17387.591	-7027.328	-13944.767
2010-04-13 11:59:30	17382.783	-7021.11	-13945.432
2010-04-14 11:59:30	17377.995	-7021.06	-13942.46
2010-04-15 11:59:30	17375.227	-7022.411	-13943.932
2010-04-16 11:59:30	17378.487	-7023.516	-13942.555
2010-04-17 11:59:30	17376.029	-7023.594	-13943.299
2010-04-18 11:59:30	17379.293	-7021.829	-13941.335
2010-04-19 11:59:30	17379.14	-7021.086	-13945.587
2010-04-20 11:59:30	99999.0	99999.0	99999.0
2010-04-21 11:59:30	99999.0	99999.0	99999.0
2010-04-22 11:59:30	17372.18	-7020.444	-13947.787
2010-04-23 11:59:30	17371.412	-7021.709	-13949.385
2010-04-24 11:59:30	17371.476	-7021.516	-13948.51
2010-04-25 11:59:30	17371.117	-7020.006	-13944.547
2010-04-26 11:59:30	17374.92	-7020.016	-13943.217
2010-04-27 11:59:30	17376.957	-7021.948	-13950.667
2010-04-28 11:59:30	17377.652	-7019.914	-13947.859
2010-04-29 11:59:30	17377.095	-7021.55	-13945.302
2010-04-30 11:59:30	17373.354	-7018.681	-13947.664
2010-05-01 11:59:30	17374.152	-7022.12	-13943.764
2010-05-02 11:59:30	17366.491	-7020.34	-13952.041
2010-05-03 11:59:30	99999.0	99999.0	99999.0
2010-05-04 11:59:30	17369.718	-7016.243	-13949.306
2010-05-05 11:59:30	17372.109	-7020.636	-13947.262
2010-05-06 11:59:30	17368.248	-7017.316	-13948.538
2010-05-07 11:59:30	17368.381	-7018.885	-13947.703
2010-05-08 11:59:30	17369.142	-7020.108	-13950.668
2010-05-09 11:59:30	17370.494	-7019.737	-13948.029
2010-05-10 11:59:30	17372.126	-7018.832	-13949.904
2010-05-11 11:59:30	17368.575	-7019.786	-13949.696
2010-05-12 11:59:30	17370.381	-7018.191	-13951.1
2010-05-13 11:59:30	17369.189	-7017.973	-13949.39
2010-05-14 11:59:30	17369.039	-7018.893	-13950.468
2010-05-15 11:59:30	17367.846	-7019.65	-13951.269
2010-05-16 11:59:30	17365.249	-7017.273	-13949.49
2010-05-17 11:59:30	17367.242	-7020.296	-13953.964
2010-05-18 11:59:30	17370.547	-7017.291	-13952.735
2010-05-19 11:59:30	17368.745	-7016.349	-13953.781
2010-05-20 11:59:30	17366.316	-7019.242	-13954.558
2010-05-21 11:59:30	17364.494	-7019.043	-13952.611
2010-05-22 11:59:30	17367.87	-7016.272	-13951.476
2010-05-23 11:59:30	17366.272	-7018.22	-13953.399
2010-05-24 11:59:30	17368.726	-7020.651	-13952.654
2010-05-25 11:59:30	17371.334	-7017.78	-13954.968
2010-05-26 11:59:30	17366.584	-7016.404	-13953.996
2010-05-27 11:59:30	17363.876	-7016.967	-13951.196
2010-05-28 11:59:30	17372.988	-7022.355	-13954.653
2010-05-29 11:59:30	17379.828	-7013.486	-13957.41
2010-05-30 11:59:30	17366.327	-7016.754	-13957.231
2010-05-31 11:59:30	17366.308	-7016.465	-13957.973
2010-06-01 11:59:30	99999.0	99999.0	99999.0
2010-06-02 11:59:30	17362.607	-7018.502	-13956.885
2010-06-03 11:59:30	17364.274	-7018.122	-13957.949
2010-06-04 11:59:30	17360.151	-7019.961	-13956.765
2010-06-05 11:59:30	17361.594	-7021.052	-13959.39
2010-06-06 11:59:30	17363.024	-7016.462	-13955.972
2010-06-07 11:59:30	17365.727	-7018.859	-13958.224
2010-06-08 11:59:30	17360.779	-7018.867	-13957.992
2010-06-09 11:59:30	17361.977	-7018.734	-13959.615
2010-06-10 11:59:30	17364.358	-7016.462	-13956.812
2010-06-11 11:59:30	17362.259	-7018.189	-13956.797
2010-06-12 11:59:30	17363.055	-7025.119	-13956.073
2010-06-13 11:59:30	17361.579	-7022.825	-13955.814
2010-06-14 11:59:30	17364.96	-7021.492	-13957.774
2010-06-15 11:59:30	17360.424	-7025.858	-13959.814
2010-06-16 11:59:30	17359.537	-7022.43	-13961.751
2010-06-17 11:59:30	99999.0	99999.0	99999.0
2010-06-18 11:59:30	99999.0	99999.0	99999.0
2010-06-19 11:59:30	17359.32	-7023.648	-13959.676
2010-06-20 11:59:30	17361.685	-7021.264	-13960.707
2010-06-21 11:59:30	17356.983	-7024.787	-13960.873
2010-06-22 11:59:30	17358.052	-7019.414	-13958.896
2010-06-23 11:59:30	17358.85	-7022.923	-13961.868
2010-06-24 11:59:30	17361.027	-7022.971	-13962.16
2010-06-25 11:59:30	17363.655	-7023.494	-13961.276
2010-06-26 11:59:30	17361.066	-7022.9	-13961.014
2010-06-27 11:59:30	17357.537	-7024.779	-13964.726
2010-06-28 11:59:30	17357.468	-7021.387	-13961.053
2010-06-29 11:59:30	17353.592	-7024.383	-13963.078
2010-06-30 11:59:30	17355.297	-7023.716	-13962.967
2010-07-01 11:59:30	99999.0	99999.0	99999.0
2010-07-02 11:59:30	17357.443	-7023.127	-13964.889
2010-07-03 11:59:30	17356.791	-7021.264	-13964.863
2010-07-04 11:59:30	17354.171	-7023.971	-13966.378
2010-07-05 11:59:30	17352.168	-7021.443	-13967.696
2010-07-06 11:59:30	17355.449	-7022.747	-13965.086
2010-07-07 11:59:30	17358.357	-7022.422	-13964.746
2010-07-08 11:59:30	17358.611	-7025.29	-13964.02
2010-07-09 11:59:30	17356.233	-7019.923	-13966.55
2010-07-10 11:59:30	17353.342	-7023.582	-13967.886
2010-07-11 11:59:30	17352.289	-7020.499	-13966.468
2010-07-12 11:59:30	17352.353	-7023.49	-13970.103
2010-07-13 11:59:30	99999.0	99999.0	99999.0
2010-07-14 11:59:30	17357.357	-7023.348	-13969.066
2010-07-15 11:59:30	17353.518	-7018.545	-13968.668
2010-07-16 11:59:30	17354.294	-7023.913	-13968.94
2010-07-17 11:59:30	17354.253	-7022.543	-13968.889
2010-07-18 11:59:30	17355.308	-7024.62	-13970.313
2010-07-19 11:59:30	17354.553	-7023.964	-13971.786
2010-07-20 11:59:30	17350.927	-7021.905	-13971.597
2010-07-21 11:59:30	17350.595	-7024.594	-13971.682
2010-07-22 11:59:30	17352.571	-7027.232	-13971.586
2010-07-23 11:59:30	17350.532	-7022.323	-13967.041
2010-07-24 11:59:30	17348.937	-7021.813	-13971.085
2010-07-25 11:59:30	17352.345	-7025.052	-13969.96
